"subj","block","runTrial","wav","syllable","speaker","correctanswer_tone","response","RT","condition","acc"
3101,1,1,"di4-iN.wav","di","i",4,1,0.97235479997471,"Hard",0
3101,1,2,"bu1-iN.wav","bu","i",1,1,0.617021099897102,"Hard",1
3101,1,3,"mi1-iN.wav","mi","i",1,3,0.789411199977621,"Hard",0
3101,1,4,"mi4-aN.wav","mi","a",4,4,0.365245799999684,"Hard",1
3101,1,5,"mi3-iN.wav","mi","i",3,3,0.33406320004724,"Hard",1
3101,1,6,"lu1-iN.wav","lu","i",1,1,0.3348105000332,"Hard",1
3101,1,7,"ma3-aN.wav","ma","a",3,2,1.33157219993882,"Hard",0
3101,1,8,"lu4-iN.wav","lu","i",4,1,0.925130299990997,"Hard",0
3101,1,9,"di3-iN.wav","di","i",3,3,0.35842730011791,"Hard",1
3101,1,10,"mi3-aN.wav","mi","a",3,3,0.325418399879709,"Hard",1
3101,1,11,"ma2-aN.wav","ma","a",2,4,0.303117600036785,"Hard",0
3101,1,12,"di1-iN.wav","di","i",1,4,0.273444400168955,"Hard",0
3101,1,13,"ma4-iN.wav","ma","i",4,2,0.526728000026196,"Hard",0
3101,1,14,"ma1-aN.wav","ma","a",1,2,0.294094000011683,"Hard",0
3101,1,15,"di2-iN.wav","di","i",2,3,0.290888600051403,"Hard",0
3101,1,16,"bu3-iN.wav","bu","i",3,1,0.677447099937126,"Hard",0
3101,1,17,"di2-aN.wav","di","a",2,2,0.652854399988428,"Hard",1
3101,1,18,"bu2-iN.wav","bu","i",2,1,0.289027099963278,"Hard",0
3101,1,19,"lu2-iN.wav","lu","i",2,1,0.414492100011557,"Hard",0
3101,1,20,"bu1-aN.wav","bu","a",1,1,0.561729399953038,"Hard",1
3101,1,21,"di1-aN.wav","di","a",1,2,0.344998300075531,"Hard",0
3101,1,22,"bu3-aN.wav","bu","a",3,3,0.443260899977759,"Hard",1
3101,1,23,"lu1-aN.wav","lu","a",1,1,0.347040200140327,"Hard",1
3101,1,24,"mi2-aN.wav","mi","a",2,4,0.284291699994355,"Hard",0
3101,1,25,"lu4-aN.wav","lu","a",4,2,0.552423600107431,"Hard",0
3101,1,26,"bu4-aN.wav","bu","a",4,1,0.462441700045019,"Hard",0
3101,1,27,"lu3-iN.wav","lu","i",3,3,0.299363599857315,"Hard",1
3101,1,28,"bu2-aN.wav","bu","a",2,1,3.53788509988226,"Hard",0
3101,1,29,"lu2-aN.wav","lu","a",2,1,0.49141709995456,"Hard",0
3101,1,30,"ma4-aN.wav","ma","a",4,4,0.386805300135165,"Hard",1
3101,1,31,"mi4-iN.wav","mi","i",4,2,0.411396299954504,"Hard",0
3101,1,32,"ma1-iN.wav","ma","i",1,4,0.478164399974048,"Hard",0
3101,1,33,"lu3-aN.wav","lu","a",3,3,0.476077500032261,"Hard",1
3101,1,34,"di3-aN.wav","di","a",3,3,0.325622299918905,"Hard",1
3101,1,35,"bu4-iN.wav","bu","i",4,1,0.233421399956569,"Hard",0
3101,1,36,"ma2-iN.wav","ma","i",2,4,0.658219299977645,"Hard",0
3101,1,37,"ma3-iN.wav","ma","i",3,2,1.93464680016041,"Hard",0
3101,1,38,"mi1-aN.wav","mi","a",1,1,0.661346100037917,"Hard",1
3101,1,39,"mi2-iN.wav","mi","i",2,2,0.819078400032595,"Hard",1
3101,1,40,"di4-aN.wav","di","a",4,1,0.562257699901238,"Hard",0
3101,2,41,"mi2-iN.wav","mi","i",2,2,0.580412899842486,"Hard",1
3101,2,42,"bu1-aN.wav","bu","a",1,1,0.258092599920928,"Hard",1
3101,2,43,"lu1-aN.wav","lu","a",1,1,0.87584330001846,"Hard",1
3101,2,44,"ma3-iN.wav","ma","i",3,2,0.552215600153431,"Hard",0
3101,2,45,"ma3-aN.wav","ma","a",3,4,0.239690999966115,"Hard",0
3101,2,46,"mi3-iN.wav","mi","i",3,3,0.377936500124633,"Hard",1
3101,2,47,"bu4-aN.wav","bu","a",4,2,0.323193300049752,"Hard",0
3101,2,48,"lu3-aN.wav","lu","a",3,3,1.54257330019027,"Hard",1
3101,2,49,"ma4-aN.wav","ma","a",4,4,0.238715399987996,"Hard",1
3101,2,50,"mi4-iN.wav","mi","i",4,2,0.28725489997305,"Hard",0
3101,2,51,"di2-aN.wav","di","a",2,2,2.05791360000148,"Hard",1
3101,2,52,"bu2-iN.wav","bu","i",2,2,1.73867539991625,"Hard",1
3101,2,53,"di2-iN.wav","di","i",2,2,0.353907999815419,"Hard",1
3101,2,54,"di3-iN.wav","di","i",3,3,0.386074199806899,"Hard",1
3101,2,55,"di4-iN.wav","di","i",4,4,1.00984710012563,"Hard",1
3101,2,56,"bu4-iN.wav","bu","i",4,4,0.81415839982219,"Hard",1
3101,2,57,"mi4-aN.wav","mi","a",4,2,1.8738448000513,"Hard",0
3101,2,58,"lu4-aN.wav","lu","a",4,4,0.296373400138691,"Hard",1
3101,2,59,"mi1-aN.wav","mi","a",1,2,0.404978899983689,"Hard",0
3101,2,60,"mi2-aN.wav","mi","a",2,2,0.305186600191519,"Hard",1
